arm,feature,c,dist1,dist2,dist3
naive,13178,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,13178,0.5,0.6335460346399271,0.9279854147675478,0.9252506836827712
naive,13178,1.0,0.6169429097605893,0.9383057090239411,0.9419889502762431
naive,13178,1.25,0.6165616561656165,0.8991899189918992,0.9054905490549054
naive,13178,1.5,0.5574977000919963,0.8785648574057038,0.8942042318307267
naive,13178,2.0,0.5601809954751131,0.8796380090497737,0.8941176470588236
naive,13178,2.5,0.5429583702391497,0.8928255093002657,0.8972542072630647
naive,13178,3.0,0.5850773430391265,0.9581437670609645,0.9454049135577798
naive,14067,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,14067,0.5,0.6483516483516484,0.9441391941391941,0.9413919413919414
naive,14067,1.0,0.5720524017467249,0.9126637554585153,0.9423580786026201
naive,14067,1.25,0.5498281786941581,0.8969072164948454,0.9329896907216495
naive,14067,1.5,0.4928989139515455,0.8671679197994987,0.935672514619883
naive,14067,2.0,0.47368421052631576,0.8807565789473685,0.9407894736842105
naive,14067,2.5,0.40096230954290296,0.8628708901363272,0.9414595028067362
naive,14067,3.0,0.33466453674121405,0.810702875399361,0.9289137380191693
naive,16446,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,16446,0.5,0.5958219800181653,0.9100817438692098,0.9255222524977293
naive,16446,1.0,0.5453648915187377,0.8806706114398422,0.9289940828402367
naive,16446,1.25,0.49898785425101216,0.8522267206477733,0.9230769230769231
naive,16446,1.5,0.5456953642384106,0.8543046357615894,0.904635761589404
naive,16446,2.0,0.6353790613718412,0.8267148014440433,0.7942238267148014
naive,16446,2.5,0.7727272727272727,0.75,0.6287878787878788
naive,16446,3.0,0.9104477611940298,0.5522388059701493,0.3582089552238806
naive,18537,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,18537,0.5,0.6294642857142857,0.9276785714285715,0.9267857142857143
naive,18537,1.0,0.5809018567639257,0.9151193633952255,0.9319186560565871
naive,18537,1.25,0.5215973920130399,0.8834555827220864,0.941320293398533
naive,18537,1.5,0.48057097541633625,0.8477398889770024,0.9333862014274386
naive,18537,2.0,0.38995568685376664,0.8138847858197932,0.9387001477104875
naive,18537,2.5,0.3249279538904899,0.7478386167146974,0.9178674351585014
naive,18537,3.0,0.29160739687055476,0.7233285917496444,0.922475106685633
naive,18931,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,18931,0.5,0.6328052190121156,0.9179869524697111,0.9245107176141659
naive,18931,1.0,0.5875,0.91875,0.94375
naive,18931,1.25,0.5545371219065078,0.9175068744271311,0.9413382218148487
naive,18931,1.5,0.527502254283138,0.9134355275022543,0.939585211902615
naive,18931,2.0,0.507380073800738,0.8920664206642066,0.9363468634686347
naive,18931,2.5,0.41818181818181815,0.8272727272727273,0.9218181818181819
naive,18931,3.0,0.3697247706422018,0.7853211009174312,0.9110091743119266
naive,24082,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,24082,0.5,0.5899218071242398,0.9122502172024327,0.9261511728931364
naive,24082,1.0,0.5389435989256938,0.8836168307967771,0.937332139659803
naive,24082,1.25,0.5326923076923077,0.8682692307692308,0.9288461538461539
naive,24082,1.5,0.43661971830985913,0.752979414951246,0.8515709642470206
naive,24082,2.0,0.2320675105485232,0.4472573839662447,0.5907172995780591
naive,24082,2.5,0.1709741550695825,0.40755467196819084,0.5745526838966203
naive,24082,3.0,0.16473988439306358,0.4393063583815029,0.6040462427745664
