token_id,token_str,count,base_mean,delta_mean
2092, similar,35,-5.17838049701282,-3.0700157225131983
3315, medical,26,-5.297970050990653,-3.06833855559727
1218, second,81,-3.8859401209118927,-3.0644153764954316
500,ine,22,-2.2795123891360576,-3.0617253553708985
1767, body,32,-2.9900156427174807,-3.0568937519565225
2098, reported,38,-3.52375766831009,-3.056697145496544
1938, players,48,-3.2078088534375033,-3.0507289549956718
3923, stories,26,-3.9916855530094697,-3.0503948218549617
2646, film,35,-3.7216926310743603,-3.050104821579797
4664, senior,24,-3.8930624226729074,-3.0482714176177983
878, before,163,-3.6781790212166006,-3.044922983787734
3715, scene,30,-2.906208373978734,-3.0439810058722894
1597, business,57,-4.461486850824721,-3.0434231874039
674, our,263,-3.1436017087025316,-3.039031735341088
4426,pm,43,-0.9027780978128227,-3.038763016705986
1576, enough,68,-3.7169365677571693,-3.0360532888786538
2776, relationship,37,-2.609974955082745,-3.0349514261894934
440, O,58,-4.300888549492309,-3.031808909843676
1626, within,42,-5.185466217342764,-3.030609851547828
2695, content,26,-5.066946175235969,-3.03005332327806
2166, front,30,-4.478425303961315,-3.020634333426278
70,g,39,-3.516426710527762,-3.019276509136641
1866, members,51,-3.1500764866085613,-3.018480043493065
2756, price,26,-3.7402856957453947,-3.016773172296011
983, game,120,-2.3002763591478774,-3.016647926989147
993,ah,24,-2.3706694922305664,-3.014273708704422
270,it,32,-3.2974056336624926,-3.0128431475659454
1138, met,30,-3.897758524616559,-3.0126874277989075
4406, records,22,-3.1111804825751195,-3.011534746762746
2058, comes,67,-3.4035639485062807,-3.006245775657373
128,�,31,-1.9287872141407383,-3.0043456919731635
2652, stay,23,-4.825201212815718,-3.001975367146888
3114, looked,21,-4.4626602956226895,-3.001827075367882
1808, question,37,-3.027971994509367,-2.9993670634371603
718, 6,59,-3.3084122021919335,-2.997320213702397
2829, simple,41,-3.7172480354130997,-2.9964492192446457
880, well,147,-2.687800823108984,-2.9963436746196885
1643, bit,41,-4.142029890745151,-2.9962225536384235
5627, housing,25,-2.846251780986786,-2.9929238057136534
3399, Americans,39,-3.5038535564373703,-2.9890847358948145
5417, sea,22,-4.137575795704668,-2.9796325767582115
2911, hope,23,-4.538742505985757,-2.976975497992143
4987, agreed,25,-4.485183181762696,-2.976026973724365
4865, border,33,-2.837125461492123,-2.975139305164868
1705, news,73,-3.6452184875100238,-2.973385858387776
346,il,38,-1.0997511826533715,-2.9641275455214777
5153, funds,21,-4.25865456036159,-2.962894258045015
260,re,154,-1.829433880433026,-2.959223359876521
2239, step,24,-2.786998371904095,-2.956406498327851
598, app,29,-3.412642187984853,-2.9550212982656627
509, K,65,-3.8060315256293578,-2.9508803610260097
2087, added,37,-3.682333678812594,-2.950131226230312
324,ad,34,-2.2510128614530913,-2.94686556865134
1683, ever,67,-3.051390965371869,-2.945871870797972
1168, Z,23,-4.631803054666228,-2.9441104886203036
2921, gave,26,-5.472363151036776,-2.9403412617169895
2272, space,29,-4.540244771231865,-2.9399019328170803
3328, receive,26,-3.7418121673824944,-2.936970369050799
3230, international,34,-4.80160035543582,-2.9367682539364877
3466, teams,34,-2.838825604714015,-2.9336483826970357
710,ne,32,-2.252960426957202,-2.933487892770586
4530, charges,24,-3.023572525164733,-2.9329949435777967
2986, San,35,-3.707828726642765,-2.9242981155835355
3269, January,28,-3.546445261154856,-2.9241181590727403
1321, information,51,-3.040314956038606,-2.9212578687013364
2060, single,49,-4.4904439246700125,-2.9208722481390046
1624, claim,30,-4.01078308224678,-2.9178133984406793
3136, reports,28,-3.400193159169118,-2.9122019877457723
636, part,109,-3.3701441468550275,-2.910784809814378
2722, received,43,-3.7699800611928453,-2.9086979080078215
3298, global,38,-4.888947788037751,-2.9044897995497054
1194, another,92,-4.3689371698697945,-2.904436472661631
3288, natural,22,-4.4506842771714386,-2.899496717209166
966, point,65,-2.741510485356244,-2.899064677824768
1760, done,61,-2.8402723459618504,-2.897264744445193
3037, technology,31,-4.333961844444275,-2.8927161962755266
1297, told,103,-3.341969878783504,-2.8921130758176727
2627, became,38,-5.282214288060603,-2.8914049195223726
4842, Chicago,23,-4.163614086482836,-2.8907928155816123
2739, late,30,-4.759273624928513,-2.876416261482518
325,se,23,-2.903167925461236,-2.874227749052174
2988, father,24,-2.9485890610764423,-2.870136614268025
308, g,23,-6.1808078081711475,-2.869677896084994
2291, include,29,-3.1259959417170493,-2.8694727765075094
344,ce,21,-1.5458457903964917,-2.8665844119258552
2551, decision,46,-3.6346497159937154,-2.861249528501345
750, did,113,-3.7501233684278166,-2.859565341894606
642, 5,80,-4.501281607704004,-2.8532742070092354
640, time,294,-1.8775952383808532,-2.8503726561158595
2486, Obama,80,-2.531464065001637,-2.845270542595245
1271, number,98,-3.128070667697288,-2.8451396368980904
2802, mother,26,-4.2120932054061155,-2.8448992795669117
4369, disease,27,-1.5792840665413275,-2.844538056050186
448,out,21,-2.285432657526274,-2.839087207679681
2479, age,25,-1.6983292841154616,-2.837370868251892
67,d,61,-2.7005955609042087,-2.8372463573175426
2250, hours,42,-2.279571661720443,-2.8357700092237796
2476, needs,25,-4.423486233055591,-2.8292807480692863
3554, leader,46,-4.096934406532218,-2.827871006589545
4845, marriage,22,-1.503991006619551,-2.8273583093488757
3125, More,34,-3.652198724089805,-2.8258101702695595
