feature,c,arm,A,C
14434,0.5,mts,36.25394058227539,2.2391951084136963
14434,1.0,naive,46.809879302978516,0.5009955763816833
14434,1.0,norm_preserving,45.54098892211914,0.44648757576942444
14434,1.0,denoise_naive,33.37354278564453,0.7435468435287476
14434,1.0,cds,57.30503845214844,0.8882960677146912
14434,1.0,mts,50.502952575683594,2.805711507797241
14434,1.5,naive,64.09166717529297,0.8598734736442566
14434,1.5,norm_preserving,62.67184829711914,0.8025153279304504
14434,1.5,denoise_naive,43.57555389404297,0.9992566704750061
14434,1.5,cds,74.61529541015625,1.5311857461929321
14434,1.5,mts,53.27604293823242,3.335564374923706
14434,2.0,naive,73.94477844238281,1.1745898723602295
14434,2.0,norm_preserving,72.57117462158203,1.1667643785476685
14434,2.0,denoise_naive,50.018882751464844,1.3091773986816406
14434,2.0,cds,78.68946838378906,1.936095118522644
14434,2.0,mts,54.754547119140625,4.097135543823242
14434,3.0,naive,81.42730712890625,1.5491318702697754
14434,3.0,norm_preserving,77.76026153564453,1.7282984256744385
14434,3.0,denoise_naive,53.1489143371582,1.9589343070983887
14434,3.0,cds,80.56062316894531,2.201845407485962
14434,3.0,mts,57.46270751953125,47.46828079223633
8925,0.5,naive,21.214231491088867,0.17396500706672668
8925,0.5,norm_preserving,21.412601470947266,0.15010999143123627
8925,0.5,denoise_naive,18.40447425842285,0.6339555382728577
8925,0.5,cds,24.420825958251953,0.4322004020214081
8925,0.5,mts,23.403682708740234,2.3227624893188477
8925,1.0,naive,38.847801208496094,0.5747883319854736
8925,1.0,norm_preserving,39.92203140258789,0.513443112373352
8925,1.0,denoise_naive,33.050540924072266,0.8022103309631348
8925,1.0,cds,42.40100860595703,1.2603209018707275
8925,1.0,mts,32.81515884399414,5.374722003936768
8925,1.5,naive,47.486263275146484,1.1059706211090088
8925,1.5,norm_preserving,49.2965202331543,1.0329481363296509
8925,1.5,denoise_naive,39.21107864379883,1.467564344406128
8925,1.5,cds,43.200958251953125,5.304413318634033
8925,1.5,mts,38.46586608886719,5.2822394371032715
8925,2.0,naive,50.023033142089844,1.868363857269287
8925,2.0,norm_preserving,50.87828063964844,2.035407304763794
8925,2.0,denoise_naive,39.015167236328125,3.1219189167022705
8925,2.0,cds,41.965450286865234,4.795095443725586
8925,2.0,mts,44.109745025634766,4.5352864265441895
8925,3.0,naive,52.14554214477539,4.936946392059326
8925,3.0,norm_preserving,48.06166076660156,4.710496425628662
8925,3.0,denoise_naive,33.325782775878906,5.745395183563232
8925,3.0,cds,44.68436813354492,7.190402030944824
8925,3.0,mts,54.10794448852539,59.97616195678711
23860,0.5,naive,19.4776554107666,0.14999261498451233
