token_id,token_str,count,base_mean,delta_mean
3592, society,32,-4.081340792006813,-4.672337097697891
2635, White,38,-4.749144887992818,-4.662530844393922
3615, Party,25,-1.2291841071099043,-4.6578730440884835
989, report,69,-2.6727839438194083,-4.6545599806105615
2071, issue,67,-3.333602874179687,-4.652285430815381
4446, voters,34,-2.675118433475933,-4.6494315956335734
2472, total,31,-4.4586989842054825,-4.644376796970685
2187, whole,32,-3.96171351353496,-4.642087858867853
2298, pick,21,-3.926030907779932,-4.639643580608425
3985, coach,21,-2.599828710158666,-4.631199249199458
2839, private,32,-5.672622997095459,-4.614810543818749
3227, production,32,-5.160521324723959,-4.587883066385984
1738, reason,37,-3.5706063375581762,-4.5808014777564505
3230, international,34,-4.80160035543582,-4.573599271037999
1257, fun,22,-4.644715393131429,-4.567416237159209
7312, Seattle,27,-3.173645849512131,-4.539229661295259
2811, average,45,-3.0060981448325848,-4.52443218678236
1429, process,54,-2.6638318595510944,-4.523343877383956
4495, conference,23,-2.8699998640171858,-4.52140411734581
4858, massive,34,-6.235978056402767,-4.516734557993272
3499, interesting,23,-3.713872119784355,-4.504911609317945
1535, health,67,-3.1660952850509045,-4.5017147858196225
2219, common,40,-5.214970203216216,-4.494030095164636
1790, short,40,-4.13831004363019,-4.491812382894569
6403, university,21,-3.957489851684797,-4.4888594058297935
2607, office,42,-1.6435154002780716,-4.478704714393686
4045, overall,26,-4.972572970848817,-4.470430115094552
1109, fact,56,-2.7531397047922446,-4.4560694592801156
3896, rule,21,-4.155862544618902,-4.444600675432454
1263, big,67,-4.971302495741132,-4.438011474796196
2546, size,24,-2.9897662694177902,-4.420811934280209
2060, single,49,-4.4904439246700125,-4.418602031294485
2276, general,51,-3.8161914619119544,-4.4082517188667865
3298, global,38,-4.888947788037751,-4.397713209453383
3781, analysis,21,-4.3194733162720995,-4.387343374036608
2008, video,49,-3.1169246150541823,-4.375282946959784
3442, California,38,-3.3192919275943975,-4.36480060985655
2003, future,53,-3.4961865128211254,-4.363004791603055
1793, God,27,-2.8348906189203262,-4.337285274156818
2351, National,44,-3.7214471957730977,-4.334849588996307
4065, crime,28,-2.3142768051475286,-4.330748116065349
2126, idea,44,-3.3299128954214128,-4.3222706230695955
4896, investment,25,-4.28959881901741,-4.318492296934128
2300, matter,39,-2.5598324838763054,-4.315380170915234
1029, high,87,-4.653097744278767,-4.314561589720363
3925, individuals,27,-5.084480753651372,-4.313802639643351
4133, resources,26,-4.271379982336209,-4.312061541069013
2311, Sen,21,-5.089213978676569,-4.288695863315037
2985, users,33,-2.8034329168484406,-4.278978282056579
1171, public,94,-4.132855016460761,-4.273166820129498
3315, medical,26,-5.297970050990653,-4.269819797043546
5018, Bank,29,-1.8607319441572803,-4.257146508043034
3899, Michael,21,-4.3079400615644685,-4.256751345775444
5537, Prime,25,-2.8518346847593783,-4.2566452728211885
3119, property,22,-4.236260800199076,-4.23885664479299
3612, thinking,21,-4.005617941419284,-4.2283829628002065
2173, points,46,-1.8112494246224347,-4.228280988683844
3967, positive,22,-4.9366216171871535,-4.225751589645039
1597, business,57,-4.461486850824721,-4.216978452797073
1517, thing,64,-2.2114956303757936,-4.203604155229186
3215, foreign,36,-4.945287586086327,-4.179546461337143
1785, event,43,-2.8804147897591426,-4.150683254436698
6123, CEO,22,-3.6723523824052378,-4.148716473443942
3482, UK,53,-3.300679918730034,-4.135339366939832
288, d,29,-5.6249685061389005,-4.13055310783715
3009, Twitter,36,-3.0921355078397834,-4.115011590953348
