split,feature,family,cos_d_bar,cos_mu_hat,cos_v_hat,weak_half_energy,logit_reach
test_r3,7848,decoder,0.02266276441514492,0.011605799198150635,1.0,0.5994621515274048,35.645450592041016
test_r3,7848,shared,0.6115138530731201,-0.07680805027484894,0.8048890829086304,0.6705664992332458,31.287826538085938
test_r3,7848,diffmeans,-0.003341975621879101,-0.07627249509096146,0.8708609342575073,0.6226166486740112,36.99748611450195
test_r3,7848,centred,0.024345770478248596,-7.916241884231567e-09,0.9999327659606934,0.5995882153511047,35.596473693847656
test_r3,7848,purified,-3.725290298461914e-09,0.014892837032675743,0.9997431635856628,0.5995743274688721,35.70951461791992
test_r3,7848,diffmeans_purified,6.51925802230835e-09,-0.07675707340240479,0.8709415793418884,0.6225955486297607,36.9856071472168
test_r3,7848,learned,0.02770504727959633,-0.035124462097883224,0.9573187232017517,0.5971556305885315,34.74818420410156
test_r3,6587,decoder,0.016524137929081917,0.009812155738472939,1.0,0.39301633834838867,38.20780944824219
test_r3,6587,shared,0.6084126234054565,-0.07845418155193329,0.803566038608551,0.5456037521362305,33.61639404296875
test_r3,6587,diffmeans,0.038259949535131454,0.07951231300830841,0.8380823135375977,0.45818501710891724,40.797508239746094
test_r3,6587,centred,0.0179465189576149,-5.587935447692871e-09,0.999951958656311,0.39295434951782227,38.18946838378906
test_r3,6587,purified,-1.862645149230957e-09,0.012207722291350365,0.9998635053634644,0.39285725355148315,38.237422943115234
test_r3,6587,diffmeans_purified,0.0,0.08511745929718018,0.8380637764930725,0.45711997151374817,40.86073303222656
test_r3,6587,learned,0.19569295644760132,-0.0065748244524002075,0.9235314130783081,0.43496495485305786,37.09113311767578
test_r3,359,decoder,0.10600917041301727,-0.19735437631607056,1.0000001192092896,0.5245691537857056,37.12853240966797
test_r3,359,shared,0.6524137258529663,-0.23322705924510956,0.8227543234825134,0.6929222345352173,31.989173889160156
test_r3,359,diffmeans,0.11378893256187439,-0.24530690908432007,0.8899253606796265,0.5029386281967163,38.09893798828125
test_r3,359,centred,0.07897106558084488,2.9802322387695312e-08,0.9803322553634644,0.4984925091266632,38.398834228515625
test_r3,359,purified,3.725290298461914e-09,-0.18302783370018005,0.9943650960922241,0.5085775256156921,37.49977493286133
test_r3,359,diffmeans_purified,5.029141902923584e-08,-0.23031790554523468,0.8836016654968262,0.48663797974586487,38.31988525390625
test_r3,359,learned,0.22363635897636414,-0.1835131198167801,0.9462069272994995,0.5572516322135925,35.91230010986328
test_r3,6911,decoder,0.03521035611629486,0.055318135768175125,0.9999998807907104,0.49108511209487915,37.221343994140625
test_r3,6911,shared,0.6178134083747864,-0.04196584224700928,0.8075904846191406,0.6216112375259399,33.68136215209961
test_r3,6911,diffmeans,0.007235832512378693,0.1725519299507141,0.8115291595458984,0.5313252210617065,39.06464767456055
test_r3,6911,centred,0.04329073801636696,-2.7939677238464355e-09,0.9984687566757202,0.4894888401031494,37.338687896728516
test_r3,6911,purified,3.725290298461914e-09,0.060456641018390656,0.9993798732757568,0.4897744357585907,37.23283004760742
test_r3,6911,diffmeans_purified,-1.4901161193847656e-08,0.17360471189022064,0.8112955689430237,0.5311546325683594,39.0650520324707
test_r3,6911,learned,0.5320437550544739,0.0038903802633285522,0.8304862976074219,0.5865976214408875,34.910526275634766
test_r3,4398,decoder,0.058470651507377625,0.050918854773044586,1.0,0.42684227228164673,39.75552749633789
test_r3,4398,shared,0.6293542385101318,-0.04494443163275719,0.8125877380371094,0.5781794190406799,34.27851104736328
test_r3,4398,diffmeans,0.011381544172763824,0.16286250948905945,0.8838967084884644,0.46426135301589966,41.83470916748047
test_r3,4398,centred,0.06593293696641922,-3.259629011154175e-09,0.998702883720398,0.42620745301246643,39.660404205322266
test_r3,4398,purified,7.450580596923828e-09,0.059491436928510666,0.9982891082763672,0.4250895380973816,39.904945373535156
test_r3,4398,diffmeans_purified,-1.862645149230957e-09,0.16452205181121826,0.8832883834838867,0.4641716182231903,41.8469352722168
test_r3,4398,learned,0.5873978137969971,0.02439706400036812,0.7821976542472839,0.60727858543396,34.41722106933594
