arm,feature,c,dist1,dist2,dist3
naive,6911,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,6911,0.5,0.5772727272727273,0.91,0.9263636363636364
naive,6911,1.0,0.5421903052064632,0.9066427289048474,0.9389587073608617
naive,6911,1.25,0.5022182786157942,0.9130434782608695,0.9449866903283053
naive,6911,1.5,0.5158371040723982,0.9194570135746606,0.9429864253393665
naive,6911,2.0,0.49809160305343514,0.9322519083969466,0.941793893129771
naive,6911,2.5,0.4849699398797595,0.9328657314629258,0.938877755511022
naive,6911,3.0,0.4393939393939394,0.9161616161616162,0.9393939393939394
naive,7848,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,7848,0.5,0.6360259981429898,0.9405756731662024,0.9433611884865367
naive,7848,1.0,0.620531622364803,0.9395050412465628,0.9413382218148487
naive,7848,1.25,0.5909502262443439,0.9429864253393665,0.9447963800904977
naive,7848,1.5,0.5541516245487365,0.9187725631768953,0.9458483754512635
naive,7848,2.0,0.4744525547445255,0.8631386861313869,0.9388686131386861
naive,7848,2.5,0.4218600191754554,0.8111217641418984,0.9146692233940557
naive,7848,3.0,0.35149023638232274,0.7297019527235354,0.8920863309352518
naive,14891,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,14891,0.5,0.6138433515482696,0.9280510018214936,0.9271402550091075
naive,14891,1.0,0.6059160305343512,0.9293893129770993,0.9370229007633588
naive,14891,1.25,0.628131021194605,0.9335260115606936,0.9402697495183044
naive,14891,1.5,0.6409465020576132,0.9495884773662552,0.9382716049382716
naive,14891,2.0,0.7320261437908496,0.9581699346405229,0.9215686274509803
naive,14891,2.5,0.77431906614786,0.9357976653696498,0.8832684824902723
naive,14891,3.0,0.7932098765432098,0.904320987654321,0.8148148148148148
naive,15507,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,15507,0.5,0.6319702602230484,0.9386617100371747,0.9433085501858736
naive,15507,1.0,0.6086956521739131,0.9252173913043479,0.8956521739130435
naive,15507,1.25,0.7329192546583851,0.7763975155279503,0.6335403726708074
naive,15507,1.5,0.5294117647058824,0.39215686274509803,0.11764705882352941
naive,15507,2.0,0.46875,0.0625,0.0
