match_mode,arm,group,n_pairs,n_matched,n_skipped,skip_frac,n_features,mean_d_logppl,d_logppl_lo95,d_logppl_hi95,mean_d_keyword_hit,d_keyword_hit_lo95,d_keyword_hit_hi95,mean_d_rep4,d_rep4_lo95,d_rep4_hi95
keyword_hit,dirfix,c_n=0.0,12,12,0,0.0,12,-0.00032140811284401644,-0.0005562921365105019,-0.00011536545223670795,,,,0.0,0.0,0.0
keyword_hit,dirfix,c_n=0.5,12,12,0,0.0,12,-0.14371435159692494,-0.40457427607910007,0.279419758674894,,,,0.005280528659302786,0.0019500956352655903,0.009388817351319667
keyword_hit,dirfix,c_n=1.0,12,10,2,0.16666666666666666,10,-1.176981931720477,-1.4274549980486553,-0.9084946879483424,,,,0.017604467021633676,0.003993427368490888,0.034834441180767395
keyword_hit,dirfix,c_n=1.5,12,12,0,0.0,12,-1.7274311584358282,-2.38736135721802,-0.9285626057675065,,,,-0.01804442245705289,-0.08813483347958796,0.024477846095219243
keyword_hit,dirfix,c_n=2.0,12,12,0,0.0,12,-1.836340283236116,-2.8410106293138004,-0.7077007600411799,,,,-0.07247293761434197,-0.20217830779079082,0.012170239470117576
keyword_hit,dirfix,c_n=3.0,12,11,1,0.08333333333333333,11,-1.4378486372537849,-2.628702894826763,-0.20630681256164266,,,,-0.08856418490658374,-0.23967055208092594,0.007926863150462442
keyword_hit,dirfix,c_n=4.0,12,11,1,0.08333333333333333,11,-0.7985520078289561,-1.9290986437128734,0.367692930893102,,,,-0.10438506331293343,-0.2672477691259981,0.00683394623051802
keyword_hit,dirfix,c_n=5.0,12,11,1,0.08333333333333333,11,-0.4517819256235511,-1.553911677450587,0.6796014705526084,,,,-0.11517063724055458,-0.29383278444439065,0.006005319925935778
keyword_hit,residual,all,96,89,7,0.07291666666666667,12,-0.5405389933989487,-1.189887654669885,0.19406594132047125,,,,-0.047606454470372074,-0.14128778474683798,0.0009001409565874702
keyword_hit,residual,c_n=0.0,12,12,0,0.0,12,-0.00021838744481417205,-0.0004368774261742046,-5.7683388392182344e-05,,,,0.0,0.0,0.0
keyword_hit,residual,c_n=0.5,12,9,3,0.25,9,0.18023203301204932,-0.18520501160713507,0.648364353202935,,,,0.0029323607646354155,0.0005545699119529529,0.0057985188800650555
keyword_hit,residual,c_n=1.0,12,10,2,0.16666666666666666,10,-0.2762059501831791,-0.6678966163727101,0.11398455410362908,,,,0.0016764483329894033,-0.0011888610482076914,0.005179575168375374
keyword_hit,residual,c_n=1.5,12,11,1,0.08333333333333333,11,-1.2068998504972865,-2.0213588594908485,-0.20602729182749277,,,,-0.03388305998027284,-0.10371529150089048,0.002193359589017338
keyword_hit,residual,c_n=2.0,12,12,0,0.0,12,-1.416792812285231,-2.40429510913377,-0.1971837546230818,,,,-0.07973081207025352,-0.22122620078037744,0.0025509344978996095
keyword_hit,residual,c_n=3.0,12,11,1,0.08333333333333333,11,-1.0548823010397383,-2.1842869389725665,0.28429677777346873,,,,-0.07034171798966561,-0.21984932635636226,0.0064538825642962835
keyword_hit,residual,c_n=4.0,12,12,0,0.0,12,-0.40468906310639113,-1.5991157996323773,0.8231610583672232,,,,-0.0831003944145193,-0.23478612969527501,-0.00042429297175185834
keyword_hit,residual,c_n=5.0,12,12,0,0.0,12,-0.01899936556988117,-1.2267955510217217,1.2127651153311847,,,,-0.09830692854901091,-0.26632107390410537,-0.0023080932501574887
keyword_hit,shared,all,96,90,6,0.0625,12,-1.4297117013654634,-1.9499063860650943,-0.8021387825356605,,,,0.05596371806689818,-0.06916180822438317,0.19033739780721753
keyword_hit,shared,c_n=0.0,12,12,0,0.0,12,-0.00010302133030363574,-0.0003090639909109072,0.0,,,,0.0,0.0,0.0
keyword_hit,shared,c_n=0.5,12,12,0,0.0,12,-0.6311508088274066,-0.91592348501441,-0.4083243289078853,,,,0.08910860437071037,0.005426910963525082,0.2302973118012469
keyword_hit,shared,c_n=1.0,12,12,0,0.0,12,-1.6637831180720861,-1.9613142766849685,-1.3961591124290684,,,,0.15139474840809705,0.049331104214662934,0.28723224711306966
keyword_hit,shared,c_n=1.5,12,12,0,0.0,12,-2.2086433023518754,-2.856697921015654,-1.3968383575205117,,,,0.08580310757633879,-0.04535871396075391,0.23260655133588062
keyword_hit,shared,c_n=2.0,12,12,0,0.0,12,-2.2956347927015637,-3.184978652780045,-1.262194280197027,,,,0.020960493021113764,-0.1564872610242495,0.2033330526793886
keyword_hit,shared,c_n=3.0,12,10,2,0.16666666666666666,10,-2.150462886757321,-3.224671525796254,-0.8291984519826049,,,,0.03724265445814956,-0.2040226226707176,0.26993556811661557
keyword_hit,shared,c_n=4.0,12,10,2,0.16666666666666666,10,-1.475156586595944,-2.519063819828488,-0.2222199400862059,,,,0.028353486379970382,-0.23610591647148488,0.26232514099118903
keyword_hit,shared,c_n=5.0,12,10,2,0.16666666666666666,10,-1.0826077869960238,-2.1488873463656217,0.07683534864655543,,,,0.021356977712451663,-0.25546083895476873,0.28297929341004724
keyword_hit,shared_only,all,96,55,41,0.4270833333333333,12,-1.1427963662704432,-1.9559310143435322,-0.2185580418185348,,,,0.0389110656708293,-0.17423031607981118,0.22848106642193475
keyword_hit,shared_only,c_n=0.0,12,12,0,0.0,12,-0.0002884136305917699,-0.00034609635671012384,-0.0002018895414142389,,,,0.0,0.0,0.0
keyword_hit,shared_only,c_n=0.5,12,4,8,0.6666666666666666,4,-0.7341086802383264,-1.4442197076976302,-0.322827629248301,,,,0.049148236182446715,0.004349415204678361,0.13805143369353898
keyword_hit,shared_only,c_n=1.0,12,2,10,0.8333333333333334,2,-2.9720991544425486,-3.0646655753254888,-2.879532733559609,,,,0.4125807341990623,0.09544463791766422,0.7297168304804604
keyword_hit,shared_only,c_n=1.5,12,3,9,0.75,3,-2.704831400016944,-3.96116347660621,-0.4603365510702133,,,,0.33154612755940144,0.09544463791766422,0.7297168304804605
keyword_hit,shared_only,c_n=2.0,12,6,6,0.5,6,-1.8205204395094405,-3.3834694431546253,-0.09913874764409933,,,,0.012562097624525459,-0.34081411925221006,0.3545310691838732
keyword_hit,shared_only,c_n=3.0,12,9,3,0.25,9,-1.9754904770188864,-3.2504745246801114,-0.6354109471318905,,,,0.03456717204306448,-0.24362519274378733,0.2746575145968204
keyword_hit,shared_only,c_n=4.0,12,9,3,0.25,9,-1.086526021692488,-2.321614663943097,0.28686117171137326,,,,-0.010596206096090334,-0.28047321662648783,0.24883766487471531
keyword_hit,shared_only,c_n=5.0,12,10,2,0.16666666666666666,10,-0.7373940825959048,-1.775153890398642,0.41390407490606074,,,,-0.016739546318042385,-0.2852012661659771,0.2476570320150727
