token_id,token_str,count,base_mean,delta_mean
2619, Black,23,-3.346813630379114,-2.520227921635049
1541, already,68,-5.1320380135173975,-2.5162710934074477
1994, key,40,-4.979987233877182,-2.507540515065193
3377, spent,24,-4.7406127799598226,-2.501358070641194
1575, cost,35,-3.562934046132224,-2.5008682421275545
2641, inside,24,-6.153268093864123,-2.498330757021903
2159, World,61,-2.4643495468333074,-2.494263285356879
3160, lives,41,-2.8536950550013698,-2.485306679572493
2029, above,28,-4.140234848284828,-2.4833129542613666
1080, system,74,-2.315052396863246,-2.481795660262563
2884, via,30,-6.200786478444934,-2.4812670319962002
787, make,153,-3.448703863508878,-2.4810646670135084
1502, order,44,-2.5780161611566488,-2.480419178294224
1487, change,66,-3.549062073879847,-2.4746432687776783
1115, three,134,-4.6635167241060005,-2.4729477666716315
5658, Thomas,28,-5.291778592924986,-2.4723695226130076
324,ad,34,-2.2510128614530913,-2.470794052816874
1399,…,50,-5.673081477880478,-2.4634708237648013
2938, expected,40,-3.9013859782367946,-2.462086709961295
3923, stories,26,-3.9916855530094697,-2.4583482909958825
1265, ask,26,-4.396676361327991,-2.457345077844086
1337, care,36,-3.558653439188169,-2.45436640875414
1058, :,26,-4.675641737027595,-2.452299229218065
3394, Russian,26,-3.748824186049975,-2.4521792278839993
1295, place,92,-2.370004064980173,-2.449289907049967
370, W,46,-3.627255015740799,-2.448002169498384
2254, City,31,-2.555317697145285,-2.438643406554606
966, point,65,-2.741510485356244,-2.438612758740782
1290, far,82,-3.45928308427605,-2.4304535518319272
292,as,46,-2.1182968511958555,-2.42652812511986
468, has,689,-2.4825039538586107,-2.4237941692184344
2291, include,29,-3.1259959417170493,-2.421753050952122
3164, approach,21,-4.258141001065572,-2.418993467376346
3517, British,28,-5.6961113555090765,-2.417331576347351
4899, tools,27,-3.482935066576357,-2.414348212085854
1865, yet,54,-4.681518636919834,-2.4141303505058644
3203, Facebook,66,-2.943435570983583,-2.4115944886668306
1321, information,51,-3.040314956038606,-2.41115668993078
2962, focus,38,-4.815079323163158,-2.4104309323684943
3362, Paul,21,-4.958017571183431,-2.4083472096300245
3037, technology,31,-4.333961844444275,-2.405807749157952
70,g,39,-3.516426710527762,-2.4031534431444763
3250, Park,24,-1.754678422541474,-2.402785877957437
3599, starting,21,-5.459327868052891,-2.4022492340632855
1550, On,38,-4.901673045725674,-2.3924357306499777
1026,It,139,-3.633776365424232,-2.391784339499988
617, some,299,-4.175843142044659,-2.3908775972395535
1310, little,86,-3.53842469405149,-2.380102407197038
766, see,128,-2.847175515955314,-2.3799690888263285
780, because,189,-3.688106891339418,-2.3767698380219007
3085, staff,30,-3.7987925919393697,-2.373974875236551
37,F,71,-3.403273880297259,-2.3722945926907726
2202,On,34,-4.815935176961562,-2.364886494243846
362, 2,126,-3.7171961266735924,-2.3626851551581196
1708, following,52,-4.937075104349508,-2.3609909425274687
4819, politics,25,-3.9729728600382805,-2.3570227685570715
1972, getting,50,-4.926831668615341,-2.3523124468326575
1049, great,45,-4.1339643438657125,-2.3511399096912804
312,id,34,-1.4250457514790469,-2.3488838645922336
2644, ...,22,-4.974215135364582,-2.346679779547478
2785, potential,28,-4.587332879858358,-2.3456797827301283
775, We,121,-3.4067819865587867,-2.345663180695039
2428, issues,48,-3.5216870441642336,-2.3452175937673023
3715, scene,30,-2.906208373978734,-2.341447723835396
273,or,67,-2.2288504041272645,-2.340214113935451
983, game,120,-2.3002763591478774,-2.336896686178807
2882, response,28,-4.776277871004173,-2.3358293534921746
513, 3,83,-4.332652728494077,-2.3348040742103082
3236, huge,24,-5.4250742594401045,-2.332483033339182
777, these,156,-4.132709454076412,-2.332175051888976
1365, better,107,-3.8045676666895085,-2.3319602560417323
32,A,165,-3.2211223907274844,-2.3317820964994924
3925, individuals,27,-5.084480753651372,-2.3303093413511915
3142, allowed,24,-4.066268625358741,-2.3293596872438984
79,p,28,-2.719258047259895,-2.3280767217490523
651, get,211,-3.349283262004086,-2.3248297276685146
49,R,72,-2.747893036877132,-2.3241881710932324
3125, More,34,-3.652198724089805,-2.322358367838794
1248, 18,46,-4.72396384337512,-2.321783048647416
878, before,163,-3.6781790212166006,-2.321197672712436
2173, points,46,-1.8112494246224347,-2.3198144587741294
1382, build,24,-4.145800965527694,-2.318704852213462
2437,How,22,-5.160522195425901,-2.314665008674968
1254, feel,32,-3.865352655760944,-2.3130547162145376
994, here,115,-3.8897462690991866,-2.309532796359322
339, he,655,-2.0070400059863016,-2.3046535862048105
2000, mind,33,-2.3927870252942243,-2.3021859339038397
640, time,294,-1.8775952383808532,-2.2984827174029494
1051, sign,25,-4.0911023044586186,-2.2967698997259136
1374, How,35,-5.4559440097106355,-2.294108721354444
1486, design,41,-4.738540794791245,-2.2915828453331457
1168, Z,23,-4.631803054666228,-2.2894363279211456
2669, Washington,50,-3.1452196956123224,-2.288337860174943
319, on,1530,-2.47600658130083,-2.2870807391663326
1294, US,56,-4.102891082742384,-2.285595047021551
1309, let,47,-5.38035032596994,-2.2855805412251895
1630, control,44,-3.328683763562532,-2.28438551667866
835, way,158,-2.1852283508806414,-2.2827665240490864
2106, history,51,-3.614711872795049,-2.2824581358239384
14,/,253,-2.070272703772724,-2.278848561706211
2033, amount,34,-3.4777722165865055,-2.274844294578276
3886,By,26,-5.334645437058778,-2.2730152525473386
