index,dec_norm,var_along,kappa_tilt,freq,mean_act,n_distinct,content_mass,blocked
201,1.0000409,11.353176,1.5262511,0.00025,4.6777387,12,0.8775721844452016,False
202,1.0000948,14.199196,1.997421,0.00028439154,6.804328,13,0.9518918277854282,False
203,1.0000147,12.028464,1.4943825,0.00013558201,8.62641,6,0.046063802936216605,False
204,1.0000405,9.537552,1.4080775,0.0026481482,1.8405422,14,0.6446355227779828,False
205,1.0000238,10.070575,1.6691225,0.000515873,2.1888185,43,0.8609931117265812,False
206,1.0000889,12.859978,1.2045842,0.0002202381,9.42665,2,0.0,False
207,1.0000399,14.182915,2.6438525,0.0077407407,1.532502,179,0.5658805450155416,False
208,1.0001066,18.13871,2.023034,0.0002797619,4.303498,17,0.9807831258835844,False
209,1.0000154,18.452892,1.8017371,0.0030740742,2.9445393,1,0.0,False
210,1.000019,11.400969,2.188124,0.00022685186,3.7592359,31,0.905156590741605,False
211,1.000128,19.238518,2.1946952,0.001489418,2.050238,3,0.0,False
212,1.0000244,21.726591,1.2849422,0.0031230159,2.2526937,25,0.9662602094647988,False
213,1.0000813,14.531025,1.6846625,0.0008293651,6.1638746,1,0.0,False
214,1.0000321,8.428865,0.9049502,0.0009272487,2.0104606,35,0.45300902071201665,False
215,1.0000405,10.738704,1.8850348,0.002621693,1.3520995,14,0.10658103551191357,False
216,1.0000552,14.883112,2.0160677,0.00034126983,10.69245,3,1.0,False
217,1.0000741,39.74939,1.3183192,0.008625661,1.5038558,177,0.8828389972451166,True
218,1.0000861,21.094662,1.938016,0.00028439154,3.1397924,21,0.011000265076794679,False
219,1.0000248,9.47452,1.6786606,0.00027843914,3.5764165,19,0.20107298345033445,False
220,1.0000304,19.547516,2.0692294,0.0021011904,3.4202614,1,0.0,False
221,1.0000702,9.086383,1.7552036,0.0010806879,2.2205153,7,0.05259411179890456,False
222,1.0001085,19.168558,1.2794017,0.0044656084,2.9776726,1,0.0,False
223,1.000025,12.859421,2.012027,0.00024867724,4.786858,15,0.9645617784902426,False
224,1.0000292,8.856402,1.3334594,0.0045462963,1.26425,39,0.1429600110857636,False
225,1.0000364,8.791995,1.5854267,0.0123015875,0.97718686,69,0.3015688409598306,False
226,1.0000672,37.859116,1.2584051,0.010593915,0.88154995,35,0.008942773135691367,False
227,1.000035,45.59876,1.503553,0.0044107144,1.4510583,88,0.0976762273239801,False
229,1.0000708,13.624823,1.4500378,0.0005654762,7.2359576,1,0.0,False
230,1.0000534,10.188333,2.1521537,0.0024001324,1.4163923,43,0.0410858224090759,False
